"What kind of pet is this (Dog, Cat, Bird, Other)","Pet's Full Name (you don't have to include your last name. Think ""Winston Churchill"" and not ""Winston Churchill MYLASTNAME"")","Pet's everyday name (e.g. ""Church"")",Pet's age,Pet's breed (if applicable)
Dog,Widget,Widget,5,Mini Dachshund mix
Dog,Stella Bo Bella,Stella,6.5,Mix
Cat,Meryl Streep,Merrill,8,
Dog,Tilly,Tills,13,Chocolate Labrador
Cat,Pumpkin,Pumpkin,12,
Dog,Peter Peter Pumpkin Eater,Petey,5,Pit Bull
Cat,Jacques,Jacques,12,
Dog,Remy,Rem,1,Unknown
Dog,Oreo,Oreo,7,Mix
Dog,Ljus  Swedish Word For Light,Ljus,14,Golden Retriever
Dog,Bambi,Bambs,3,Unknown
Cat,Marie Curie,Marie,3,
Cat,Clarence,Clarence,12,Russian Blue
Dog,Layla ‘the Tank’,Layla,3,Pit Bull
Cat,Amber,Ambs,10,Tortoise
Dog,Benny And The Jets,Ben,1,Mastiff/Great Dane
Dog,Milo,Milo,7,Bichon Frise
Dog,Mocha,Mocha,3,Pit Bull mix
Dog,Shadow,Shadow,15,Golden Retriever
Cat,Little Bit,Skittles,10,Tabby
Dog,Luna,Luna,1,Great Pyrenees
Cat,Garrison,Garrison,9,Russian Blue
Dog,Cody,Baby Pookie,13,Labrador Retriever mix
Hamster,Hammy,Ham,1,Russian Dwarf Hamster
Cat,Zoey,Zoey,13,Cat
Dog,Oatmeal,Oatmeal,7,Golden Retriever
Dog,Ginger,Nugget,10,Chihuahua
Cat,Lucy,Lucy,4,Russian Blue
Dog,Starbuck Louise,Starbuck,4,Goldendoodle
Dog,Mocha Antoinette,Mocha,7,Mix
Dog,Oscar,Oscar,10,Shepherd retriever mix
Cat,Serena,Mouse Pie,17,Domestic Long Hair
Cat,Maxine Waters,Maxine,4,
Dog,Magnolia Mae,Noli,2.5,Great Pyrenees mix
Dog,George Cooper,Georgie,2,Golden Retriever
Dog,Cayenne,Cayenne,8,German Shepherd
Cat,Pip,Pip,11,Tuxedo
Dog,Olive Oil,Olive,2,Australian Shepherd
Rabbit,Iggy And Ziggy,Igs And Zigs,3,Lop and angora
Dog,Brook,Brookie,7,Golden Retriever
Dog,Sparkie,Spark Sparkie Sparkle,4,Mix
Dog,Max,Maxie,16,Cairn Terrier mix
Dog,Howard,Howie,10,American Staffordshire Terrier mix
Cat,Samantha Bee,Sam,3,Tuxedo
Dog,Ella Fitzgerald,Ella,12,Mix
Cat,Chanel,Teeny,6.5,
Fish,Commander Ambrose,The Commander,10,Beta Fish
Dog,Josephine Bakes,Josie,5,Pit Bull mix
Dog,Lennie,Lennie,2,Treeing Tennessee Brindle
Cat,Obsidian Jazz Paws,Ojp,1,Cat
Cat,Scotty,Scotty,8,Domestic Short Hair
Cat,Macallan,Mac,8,
Dog,Cody James,Buddy,1,Golden Retriever
Dog,Jake,Jake,2,Golden Retriever mix
Cat,Katie,Boo,9,Tuxedo moggy
Server,Damn,It,2,Skylake
Dog,Gail,Gail,3,Treeing Tennessee Brindle
Hamster,Bella,Bella,2,Russian Dwarf Hamster
Cat,June Bug,June Bug,5,
Dog,Lucky,Luck Luckboy Luck Duck,3,"Jack a bee (half jack russell, half beagle)"
Dog,Darcy,Darcy,3,Working cocker spaniel
Cat,Neko,Neko Cat Kitten,6,Domestic Short Hair
Cat,Maisy,Maisy,7,
Dog,Luke Anakin,Luke,9,Golden Retriever
Dog,Sadie,Sadie Pot Pie,10,Mix
Dog,Hazel Nut,Hazel,3,Australian Shepherd
Cat,Mongoose,Goosey,23,
Cat,Flerf,Bab,16,Tortoise
Dog,Bourbon,Bourbon,3,Mix
Dog,Riley,Smiley Riley,13,Golden Retriever
Cat,Murphy,Murph,13,Domestic Short Hair
Dog,Mr. Nubs,Mr. Nubs,16,Corgi
Cat,Mackerel,Mack,23,
Cat,Regis,"Regis Or ""little Asshole""",10,
Cat,Laetynne Marah,Lae Lae,7,Siamese
Cat,Callie,Callie,15,Domestic Short Hair mix
Dog,Bentley,Bentley Boy,3,Australian labradoodle
Cat,Crumb Bun,Bobo,9,Tuxedo
Dog,Fenway,Fenway,6,Boston terrier
Dog,Benelli,Name,3,Labrador Retriever
Turtle,Lenny,Lenny,12,
Dog,Washington The Destroyer,Wash,6.5,Labrador Retriever
Cat,Otto,Otto,16,
Dog,Philomenos,Philo Phil Phi Phi,9,Portuguese Water Dog
Dog,Stampy Wiggles,Stampy,10,Goldendoodle
Dog,Jasmine,Jaz,5,Golden Retriever
Dog,Emma,Puppy,1,Labrador Retriever
Dog,Winston,Wintin,4,Wire-haired mutt
Dog,Torchenay Be Cool,Max,13,Beagle
